affixProfile,Prefix:Mp,Prefix:FlatArmorClass,Prefix:Accuracy,Prefix:PercentDamage,Prefix:LifeSteal,Prefix:Evasion,Prefix:ArmorPenetration,Prefix:Agility,Suffix:Strength,Suffix:Spirit,Suffix:Dexterity,Suffix:Vitality,Suffix:Hp,Suffix:FlatDamage,Suffix:Durability,Suffix:PercentArmorClass
OneHandedMelee,,,5,5,5,,5,5,5,5,5,,,5,5,
TwoHandedMelee,,,5,5,5,,5,5,5,5,5,5,,5,5,
TwoHandedMeleeCaster,5,,,,5,,,5,,5,,5,,,5,
TwoHandedRanged,,,5,5,5,5,5,5,5,5,5,5,,5,5,
BodyArmorCloth,5,5,,,,3,,3,5,5,3,5,5,,5,5
BodyArmorLeather,3,5,,,,5,,5,5,3,5,5,5,,5,5
BodyArmorMail,5,5,,,,5,,5,5,5,5,5,5,,5,5
BodyArmorPlate,3,5,,,,,,,5,3,3,5,5,,5,5
HeadGearCloth,5,5,,,,3,,3,5,5,3,5,5,,5,5
HeadGearLeather,3,5,5,,,5,,5,5,3,5,5,5,,5,5
HeadGearMail,5,5,,,5,5,,5,5,5,5,5,5,,5,5
HeadGearPlate,3,5,,,,,5,,5,3,3,5,5,,5,5
Shield,5,5,,,,5,,3,5,5,5,5,5,,5,5
Jewelry,5,,5,,5,5,5,5,5,5,5,5,5,5,,
