baseItem,equipmentType,affixProfile,minLvl,maxLvl,minAc,maxAc,armorCategory,maxDura,reqStr,reqDex,reqSpr,reqVit,reqAgi
Rags,BodyArmor,BodyArmorCloth,1,3,2,6,Cloth,12,,,,,
Cape,BodyArmor,BodyArmorCloth,2,4,5,10,Cloth,14,,,,,
Cloak,BodyArmor,BodyArmorCloth,3,7,10,14,Cloth,20,,,5,,
Robe,BodyArmor,BodyArmorCloth,6,9,18,22,Cloth,22,,,9,,
Kevlar,BodyArmor,BodyArmorCloth,8,10,30,40,Cloth,28,,,19,,
LeatherArmor,BodyArmor,BodyArmorLeather,3,5,15,22,Leather,16,,5,,,
HardLeatherArmor,BodyArmor,BodyArmorLeather,5,7,25,35,Leather,18,,7,,,
StuddedLeatherArmor,BodyArmor,BodyArmorLeather,6,8,30,45,Leather,24,,11,,,
DemonsaurArmor,BodyArmor,BodyArmorLeather,8,10,55,65,Leather,36,,19,,,
RingMail,BodyArmor,BodyArmorMail,3,5,20,24,Mail,19,3,3,,,
ChainMail,BodyArmor,BodyArmorMail,4,6,28,36,Mail,21,5,5,3,,
ScaleMail,BodyArmor,BodyArmorMail,5,7,34,45,Mail,25,,9,7,,
SplintMail,BodyArmor,BodyArmorMail,5,9,48,60,Mail,29,13,13,,,
OhmushellMail,BodyArmor,BodyArmorMail,8,10,65,80,Mail,52,15,15,7,,
BreastPlate,BodyArmor,BodyArmorPlate,2,4,30,38,Plate,20,9,,,,
FieldPlate,BodyArmor,BodyArmorPlate,4,6,40,45,Plate,24,15,,,,
GothicPlate,BodyArmor,BodyArmorPlate,5,8,50,60,Plate,34,19,,,,
FullPlate,BodyArmor,BodyArmorPlate,8,9,60,75,Plate,42,25,,,,
ShardPlate,BodyArmor,BodyArmorPlate,10,10,80,100,Plate,50,35,,,,
Cap,HeadGear,HeadGearCloth,1,3,1,3,Cloth,12,,,,,
Bandana,HeadGear,HeadGearCloth,2,4,2,4,Cloth,14,,,3,,
PaddedCap,HeadGear,HeadGearCloth,3,6,3,6,Cloth,14,,,7,,
Ribbon,HeadGear,HeadGearCloth,5,10,1,1,Cloth,8,,,,,
WizardHat,HeadGear,HeadGearCloth,7,10,6,14,Cloth,20,,,19,,
Eyepatch,HeadGear,HeadGearLeather,1,3,2,5,Leather,14,,2,,,
LeatherHat,HeadGear,HeadGearLeather,3,5,5,8,Leather,16,,5,,,
LeatherHelm,HeadGear,HeadGearLeather,4,8,9,15,Leather,18,,7,,,
DemonsaurHelm,HeadGear,HeadGearLeather,9,10,18,24,Leather,28,,19,,,
Hairpin,HeadGear,HeadGearMail,3,4,2,2,Mail,12,,,,,
Skullcap,HeadGear,HeadGearMail,4,5,8,16,Mail,18,7,7,,,
Coif,HeadGear,HeadGearMail,5,8,20,26,Mail,19,9,9,5,,
OhmushellMask,HeadGear,HeadGearMail,7,10,30,38,Mail,32,15,15,9,,
Circlet,HeadGear,HeadGearPlate,2,4,5,10,Plate,18,,,,,
Crown,HeadGear,HeadGearPlate,4,6,10,20,Plate,16,7,,,,
FullHelm,HeadGear,HeadGearPlate,6,9,22,30,Plate,31,11,,,,
GreatHelm,HeadGear,HeadGearPlate,9,10,32,40,Plate,50,19,,,,
