baseItem,equipmentType,affixProfile,minLevel,maxLevel,minDamage,maxDamage,damageClassificationsCount,damageClassifications,minArmorClass,maxArmorClass,armorCategory,shieldSize,maxDurability,requiresStrength,requiresDexterity,requiresSpirit,requiresVitality,requiresAgility
Stick,OneHandedMeleeWeapon,OneHandedMelee,0,0,1,3,1,Physical:Blunt,,,,,8,,,,,
Club,OneHandedMeleeWeapon,OneHandedMelee,1,3,1,4,1,Physical:Blunt,,,,,14,,,,,
Mace,OneHandedMeleeWeapon,OneHandedMelee,2,5,1,8,1,Physical:Blunt,,,,,22,10,,,,
Morningstar,OneHandedMeleeWeapon,OneHandedMelee,4,8,2,12,1,Physical:Blunt,,,,,18,14,,,,
WarHammer,OneHandedMeleeWeapon,OneHandedMelee,8,10,4,16,1,Physical:Blunt,,,,,20,24,,,,
ButterKnife,OneHandedMeleeWeapon,OneHandedMelee,0,0,1,2,1,Physical:Slashing,,,,,7,,,,,
ShortSword,OneHandedMeleeWeapon,OneHandedMelee,2,4,2,6,1,Physical:Slashing,,,,,15,5,,,,
Blade,OneHandedMeleeWeapon,OneHandedMelee,3,5,4,8,1,Physical:Slashing,,,,,17,7,7,,,
BroadSword,OneHandedMeleeWeapon,OneHandedMelee,6,8,4,12,1,Physical:Slashing,,,,,24,17,7,,,
BastardSword,OneHandedMeleeWeapon,OneHandedMelee,8,10,6,15,2,Physical:Slashing|Physical:Piercing,,,,,25,27,15,,,
Dagger,OneHandedMeleeWeapon,OneHandedMelee,1,3,1,4,2,Physical:Slashing|Physical:Piercing,,,,,9,,,,,
Rapier,OneHandedMeleeWeapon,OneHandedMelee,3,6,1,11,1,Physical:Piercing,,,,,13,,7,,,
ShortSpear,OneHandedMeleeWeapon,OneHandedMelee,6,9,4,13,1,Physical:Piercing,,,,,25,7,14,,,
RuneSword,OneHandedMeleeWeapon,OneHandedMelee,5,10,2,12,2,Physical:Slashing:Fire|Physical:Slashing:Ice|Physical:Slashing:Lightning|Physical:Slashing:Water|Physical:Slashing:Earth|Physical:Slashing:Wind,,,,,20,18,7,3,,
EtherBlade,OneHandedMeleeWeapon,OneHandedMelee,5,8,6,10,1,Magical:Slashing,,,,,12,13,,5,,
IceBlade,OneHandedMeleeWeapon,OneHandedMelee,2,4,2,6,1,Physical:Slashing:Ice,,,,,9,8,,2,,
MapleWand,OneHandedMeleeWeapon,OneHandedMelee,2,4,1,8,1,Magical,,,,,10,,,2,,
WillowWand,OneHandedMeleeWeapon,OneHandedMelee,3,6,2,10,1,Magical,,,,,14,,,10,,
YewWand,OneHandedMeleeWeapon,OneHandedMelee,5,7,3,13,1,Magical,,,,,18,,,15,,
