baseItem,affixProfile,minLvl,maxLvl,minAc,maxAc,shieldSize,maxDura,reqStr,reqDex,reqSpr,reqVit,reqAgi
PotLid,Shield,0,0,2,2,Small,8,,,,,
CabinetDoor,Shield,1,3,2,6,Small,16,,,,,
Heater,Shield,2,4,10,18,Medium,22,3,,,,
Buckler,Shield,3,5,20,32,Small,18,3,2,,,
Pavise,Shield,4,6,32,41,Large,20,7,3,,,
Aspis,Shield,5,7,40,48,Medium,18,7,7,,,
LanternShield,Shield,5,6,50,55,Small,15,,7,3,,
KiteShield,Shield,6,8,60,75,Medium,24,14,7,,,
TowerShield,Shield,7,10,70,80,Large,25,29,,,,
AncientBuckler,Shield,8,10,80,100,Small,28,7,29,,,
GothicShield,Shield,8,10,85,110,Medium,28,29,7,,,
