baseItem,equipmentType,affixProfile,minLvl,maxLvl,minDmg,maxDmg,damageClassificationsCount,damageClassifications,maxDura,reqStr,reqDex,reqSpr,reqVit,reqAgi
Stick,OneHandedMeleeWeapon,OneHandedMelee,0,0,1,3,1,Physical:Blunt,8,,,,,
Club,OneHandedMeleeWeapon,OneHandedMelee,1,3,1,4,1,Physical:Blunt,14,,,,,
Mace,OneHandedMeleeWeapon,OneHandedMelee,2,5,1,8,1,Physical:Blunt,22,10,,,,
Morningstar,OneHandedMeleeWeapon,OneHandedMelee,4,8,2,12,1,Physical:Blunt,18,14,,,,
WarHammer,OneHandedMeleeWeapon,OneHandedMelee,8,10,4,16,1,Physical:Blunt,20,24,,,,
ButterKnife,OneHandedMeleeWeapon,OneHandedMelee,0,0,1,2,1,Physical:Slashing,7,,,,,
ShortSword,OneHandedMeleeWeapon,OneHandedMelee,2,4,2,6,1,Physical:Slashing,15,5,,,,
Blade,OneHandedMeleeWeapon,OneHandedMelee,3,5,4,8,1,Physical:Slashing,17,7,7,,,
BroadSword,OneHandedMeleeWeapon,OneHandedMelee,6,8,4,12,1,Physical:Slashing,24,17,7,,,
BastardSword,OneHandedMeleeWeapon,OneHandedMelee,8,10,6,15,2,Physical:Slashing|Physical:Piercing,25,27,15,,,
Dagger,OneHandedMeleeWeapon,OneHandedMelee,1,3,1,4,2,Physical:Slashing|Physical:Piercing,9,,,,,
Rapier,OneHandedMeleeWeapon,OneHandedMelee,3,6,1,11,1,Physical:Piercing,13,,7,,,
ShortSpear,OneHandedMeleeWeapon,OneHandedMelee,6,9,4,13,1,Physical:Piercing,25,7,14,,,
RuneSword,OneHandedMeleeWeapon,OneHandedMelee,5,10,2,12,2,Physical:Slashing:Fire|Physical:Slashing:Ice|Physical:Slashing:Lightning|Physical:Slashing:Water|Physical:Slashing:Earth|Physical:Slashing:Wind,20,18,7,3,,
EtherBlade,OneHandedMeleeWeapon,OneHandedMelee,5,8,6,10,1,Magical:Slashing,12,13,,5,,
IceBlade,OneHandedMeleeWeapon,OneHandedMelee,2,4,2,6,1,Physical:Slashing:Ice,9,8,,2,,
MapleWand,OneHandedMeleeWeapon,OneHandedMelee,2,4,1,8,1,Magical,10,,,2,,
WillowWand,OneHandedMeleeWeapon,OneHandedMelee,3,6,2,10,1,Magical,14,,,10,,
YewWand,OneHandedMeleeWeapon,OneHandedMelee,5,7,3,13,1,Magical,18,,,15,,
RoseWand,OneHandedMeleeWeapon,OneHandedMelee,8,10,6,16,1,Magical,24,,,20,,
RottingBranch,TwoHandedMeleeWeapon,TwoHandedMelee,0,0,1,7,1,Physical:Blunt,6,,,,,
BoStaff,TwoHandedMeleeWeapon,TwoHandedMelee,1,3,2,8,1,Physical:Blunt,8,,,,,
Spear,TwoHandedMeleeWeapon,TwoHandedMelee,2,5,3,9,1,Physical:Piercing,11,2,5,,,
Bardiche,TwoHandedMeleeWeapon,TwoHandedMelee,2,5,1,11,1,Physical:Slashing,15,9,,,,
SplittingMaul,TwoHandedMeleeWeapon,TwoHandedMelee,3,6,6,12,2,Physical:Slashing|Physical:Blunt,16,11,5,,,
Maul,TwoHandedMeleeWeapon,TwoHandedMelee,5,7,9,14,1,Physical:Blunt,18,16,,,,
BattleAxe,TwoHandedMeleeWeapon,TwoHandedMelee,5,7,6,15,1,Physical:Slashing,21,13,7,,,
Glaive,TwoHandedMeleeWeapon,TwoHandedMelee,6,8,8,17,2,Physical:Slashing|Physical:Piercing,19,9,15,,,
ElementalStaff,TwoHandedMeleeWeapon,TwoHandedMelee,7,9,10,18,2,Physical:Blunt:Fire|Physical:Blunt:Ice|Physical:Blunt:Lightning|Physical:Blunt:Water|Physical:Blunt:Earth|Physical:Blunt:Wind,18,7,,7,,
Trident,TwoHandedMeleeWeapon,TwoHandedMelee,8,10,14,26,2,Magical:none:Water|Physical:Piercing,23,7,,7,,
GreatAxe,TwoHandedMeleeWeapon,TwoHandedMelee,9,10,15,35,1,Physical:Slashing,28,23,11,,,
GravityHammer,TwoHandedMeleeWeapon,TwoHandedMelee,9,10,20,30,1,Physical:Blunt,40,30,,,,
ElmStaff,TwoHandedMeleeWeapon,TwoHandedMeleeCaster,3,6,4,12,1,Physical:Blunt,16,,,10,,
MahoganyStaff,TwoHandedMeleeWeapon,TwoHandedMeleeCaster,5,8,8,22,1,Physical:Blunt,19,,,15,,
EbonyStaff,TwoHandedMeleeWeapon,TwoHandedMeleeCaster,8,10,10,32,1,Physical:Blunt,24,,,25,,
ShortBow,TwoHandedRangedWeapon,TwoHandedRanged,1,3,2,7,1,Physical:Piercing,15,,2,,,
RecurveBow,TwoHandedRangedWeapon,TwoHandedRanged,3,5,5,10,1,Physical:Piercing,16,3,7,,,
CompositeBow,TwoHandedRangedWeapon,TwoHandedRanged,5,8,8,16,1,Physical:Piercing,26,7,13,,,
MilitaryBow,TwoHandedRangedWeapon,TwoHandedRanged,8,10,12,26,1,Physical:Piercing,25,13,25,,,
EtherBow,TwoHandedRangedWeapon,TwoHandedRanged,7,10,10,22,1,Magical:Piercing,11,,7,13,,
