monsterType,Strength,Dexterity,Spirit,Vitality,Agility,Speed,ArmorClass,ArmorPenetration,Accuracy,Evasion,Hp,Mp
Wolf,7,8,,1.5,2,,4.5,,,10,4.5,0
FireMage,,,10,1.5,1.5,,2.5,,,1,4.5,
Cultist,,,14,,1.5,,,,,0,0,
MantaRay,,,6,1,1.5,,,,,,22,
Net,,,,,,10,,,,,,
Spider,8,6,,1.5,2,,7.5,,,12,4.5,0
Slime,3,3,2,0.5,1,,2,,,6,3.5,0
Zombie,5,3,,2.5,2,,4.5,,,2,4.5,0
SkeletonWarrior,4,4,,2,2,,7.5,,,2,3.5,0
SkeletonCaptain,4,5,2,2,2,,7.5,,,2,3.5,0
VampireBat,2,5,2,1,3,,1.5,,,3,1.5,0
TyrantRex,5,5,0,3,2,,1.5,,,3,3.5,0
